goos: darwin
goarch: arm64
pkg: github.com/telegram-bot-app/libpack/cacher
BenchmarkCacheLookupInMemory-8   	 2045157	       598.2 ns/op	     562 B/op	       2 allocs/op
BenchmarkCacheLookupInMemory-8   	 2165263	       622.3 ns/op	     561 B/op	       2 allocs/op
BenchmarkCacheLookupInMemory-8   	 1965367	       580.8 ns/op	     561 B/op	       2 allocs/op
BenchmarkCacheLookupInMemory-8   	 2030293	       620.6 ns/op	     561 B/op	       2 allocs/op
BenchmarkCacheLookupInMemory-8   	 1998800	       597.7 ns/op	     562 B/op	       2 allocs/op
BenchmarkCacheLookupInMemory-8   	 2099566	       622.0 ns/op	     561 B/op	       2 allocs/op
BenchmarkCacheLookupInMemory-8   	 2133934	       562.7 ns/op	     561 B/op	       2 allocs/op
BenchmarkCacheLookupInMemory-8   	 2095540	       574.4 ns/op	     562 B/op	       2 allocs/op
BenchmarkCacheLookupInMemory-8   	 1886148	       565.6 ns/op	     562 B/op	       2 allocs/op
BenchmarkCacheLookupInMemory-8   	 2125867	       564.4 ns/op	     562 B/op	       2 allocs/op
BenchmarkCacheLookupRedis-8      	   52767	     21171 ns/op	     501 B/op	      23 allocs/op
BenchmarkCacheLookupRedis-8      	   57548	     21589 ns/op	     501 B/op	      23 allocs/op
BenchmarkCacheLookupRedis-8      	   54693	     21930 ns/op	     501 B/op	      23 allocs/op
BenchmarkCacheLookupRedis-8      	   55676	     23153 ns/op	     501 B/op	      23 allocs/op
BenchmarkCacheLookupRedis-8      	   55676	     22035 ns/op	     501 B/op	      23 allocs/op
BenchmarkCacheLookupRedis-8      	   49084	     22059 ns/op	     501 B/op	      23 allocs/op
BenchmarkCacheLookupRedis-8      	   55027	     21665 ns/op	     501 B/op	      23 allocs/op
BenchmarkCacheLookupRedis-8      	   56158	     21905 ns/op	     502 B/op	      23 allocs/op
BenchmarkCacheLookupRedis-8      	   55479	     22195 ns/op	     501 B/op	      23 allocs/op
BenchmarkCacheLookupRedis-8      	   55964	     21635 ns/op	     501 B/op	      23 allocs/op
BenchmarkCacheStoreInMemory-8    	   79771	     15328 ns/op	     212 B/op	       5 allocs/op
BenchmarkCacheStoreInMemory-8    	   76194	     15190 ns/op	     213 B/op	       5 allocs/op
BenchmarkCacheStoreInMemory-8    	   80202	     15203 ns/op	     212 B/op	       5 allocs/op
BenchmarkCacheStoreInMemory-8    	   79574	     15230 ns/op	     212 B/op	       5 allocs/op
BenchmarkCacheStoreInMemory-8    	   79735	     16761 ns/op	     202 B/op	       5 allocs/op
BenchmarkCacheStoreInMemory-8    	   79405	     18190 ns/op	     212 B/op	       5 allocs/op
BenchmarkCacheStoreInMemory-8    	   74268	     16374 ns/op	     214 B/op	       5 allocs/op
BenchmarkCacheStoreInMemory-8    	   78435	     15116 ns/op	     212 B/op	       5 allocs/op
BenchmarkCacheStoreInMemory-8    	   77776	     15403 ns/op	     233 B/op	       5 allocs/op
BenchmarkCacheStoreInMemory-8    	   77443	     15521 ns/op	     223 B/op	       5 allocs/op
BenchmarkCacheStoreRedis-8       	   49953	     22397 ns/op	     854 B/op	      35 allocs/op
BenchmarkCacheStoreRedis-8       	   53202	     22257 ns/op	     854 B/op	      35 allocs/op
BenchmarkCacheStoreRedis-8       	   47427	     25499 ns/op	     853 B/op	      35 allocs/op
BenchmarkCacheStoreRedis-8       	   51309	     22635 ns/op	     855 B/op	      35 allocs/op
BenchmarkCacheStoreRedis-8       	   49646	     26050 ns/op	     854 B/op	      35 allocs/op
BenchmarkCacheStoreRedis-8       	   53078	     23383 ns/op	     853 B/op	      35 allocs/op
BenchmarkCacheStoreRedis-8       	   54458	     28038 ns/op	     854 B/op	      35 allocs/op
BenchmarkCacheStoreRedis-8       	   44215	     26700 ns/op	     854 B/op	      35 allocs/op
BenchmarkCacheStoreRedis-8       	   47658	     22940 ns/op	     854 B/op	      35 allocs/op
BenchmarkCacheStoreRedis-8       	   51284	     23832 ns/op	     854 B/op	      35 allocs/op
PASS
ok  	github.com/telegram-bot-app/libpack/cacher	64.968s
